h/dp :,2
L2norm Pressure,KE,dp,Nparticles
519.224,0,0.5,1152

t,0
ID,r,z,,rho,drhodt,pressure,,u_r,u_z,velocity,,pairAr,pairAz,totalAr,totalAz,Type
0,0.25,-0.25,,1009.86,0,239082,,0,0,0,,0,0,946.994,-9.81,boundary
1,0.75,-0.25,,1009.86,0,239082,,0,0,0,,0,0,315.665,-9.81,boundary
2,1.25,-0.25,,1009.86,0,239082,,0,0,0,,0,0,189.399,-9.81,boundary
3,1.75,-0.25,,1009.86,0,239082,,0,0,0,,0,0,135.285,-9.81,boundary
4,2.25,-0.25,,1009.86,0,239082,,0,0,0,,0,0,105.222,-9.81,boundary
5,2.75,-0.25,,1009.86,0,239082,,0,0,0,,0,0,86.0903,-9.81,boundary
6,3.25,-0.25,,1009.86,0,239082,,0,0,0,,0,0,72.8457,-9.81,boundary
7,3.75,-0.25,,1009.86,0,239082,,0,0,0,,0,0,63.1329,-9.81,boundary
8,4.25,-0.25,,1009.86,0,239082,,0,0,0,,0,0,55.7055,-9.81,boundary
9,4.75,-0.25,,1009.86,0,239082,,0,0,0,,0,0,49.8418,-9.81,boundary
10,5.25,-0.25,,1009.86,0,239082,,0,0,0,,0,0,45.0949,-9.81,boundary
11,5.75,-0.25,,1009.86,0,239082,,0,0,0,,0,0,41.1736,-9.81,boundary
12,6.25,-0.25,,1009.86,0,239082,,0,0,0,,0,0,37.8798,-9.81,boundary
13,6.75,-0.25,,1009.86,0,239082,,0,0,0,,0,0,35.0738,-9.81,boundary
14,7.25,-0.25,,1009.86,0,239082,,0,0,0,,0,0,32.655,-9.81,boundary
15,7.75,-0.25,,1009.86,0,239082,,0,0,0,,0,0,30.5482,-9.81,boundary
16,8.25,-0.25,,1009.86,0,239082,,0,0,0,,0,0,28.6968,-9.81,boundary
17,8.75,-0.25,,1009.86,0,239082,,0,0,0,,0,0,27.057,-9.81,boundary
18,9.25,-0.25,,1009.86,0,239082,,0,0,0,,0,0,25.5944,-9.81,boundary
19,9.75,-0.25,,1009.86,0,239082,,0,0,0,,0,0,24.2819,-9.81,boundary
20,10.25,-0.25,,1009.86,0,239082,,0,0,0,,0,0,23.0974,-9.81,boundary
21,10.75,-0.25,,1009.86,0,239082,,0,0,0,,0,0,22.0231,-9.81,boundary
22,11.25,-0.25,,1009.86,0,239082,,0,0,0,,0,0,21.0443,-9.81,boundary
23,11.75,-0.25,,1009.86,0,239082,,0,0,0,,0,0,20.1488,-9.81,boundary
