h/dp :,1.2
L2norm Pressure,KE,dr0,Nparticles
20051.1,2.71486,0.00141421,4440

t,0.0100005
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,0.05,0,,1000,0,0,,0,0,,0,0,boundary
1,0.04998,0.00141494,,1000,0,0,,0,0,,0,0,boundary
2,0.0499199,0.00282875,,1000,0,0,,0,0,,0,0,boundary
3,0.0498199,0.0042403,,1000,0,0,,0,0,,0,0,boundary
4,0.0496799,0.00564844,,1000,0,0,,0,0,,0,0,boundary
5,0.0495002,0.00705207,,1000,0,0,,0,0,,0,0,boundary
6,0.0492808,0.00845004,,1000,0,0,,0,0,,0,0,boundary
7,0.0490219,0.00984125,,1000,0,0,,0,0,,0,0,boundary
8,0.0487238,0.0112246,,1000,0,0,,0,0,,0,0,boundary
9,0.0483866,0.0125989,,1000,0,0,,0,0,,0,0,boundary
10,0.0480107,0.0139631,,1000,0,0,,0,0,,0,0,boundary
11,0.0475964,0.0153162,,1000,0,0,,0,0,,0,0,boundary
12,0.0471439,0.016657,,1000,0,0,,0,0,,0,0,boundary
13,0.0466536,0.0179844,,1000,0,0,,0,0,,0,0,boundary
14,0.046126,0.0192975,,1000,0,0,,0,0,,0,0,boundary
15,0.0455614,0.0205951,,1000,0,0,,0,0,,0,0,boundary
16,0.0449604,0.0218762,,1000,0,0,,0,0,,0,0,boundary
17,0.0443233,0.0231397,,1000,0,0,,0,0,,0,0,boundary
18,0.0436507,0.0243847,,1000,0,0,,0,0,,0,0,boundary
19,0.0429432,0.0256102,,1000,0,0,,0,0,,0,0,boundary
20,0.0422012,0.0268152,,1000,0,0,,0,0,,0,0,boundary
21,0.0414255,0.0279987,,1000,0,0,,0,0,,0,0,boundary
22,0.0406166,0.0291598,,1000,0,0,,0,0,,0,0,boundary
23,0.0397751,0.0302975,,1000,0,0,,0,0,,0,0,boundary
24,0.0389018,0.031411,,1000,0,0,,0,0,,0,0,boundary
25,0.0379973,0.0324993,,1000,0,0,,0,0,,0,0,boundary
26,0.0370624,0.0335616,,1000,0,0,,0,0,,0,0,boundary
27,0.0360978,0.0345969,,1000,0,0,,0,0,,0,0,boundary
28,0.0351043,0.0356046,,1000,0,0,,0,0,,0,0,boundary
29,0.0340827,0.0365838,,1000,0,0,,0,0,,0,0,boundary
30,0.0330337,0.0375336,,1000,0,0,,0,0,,0,0,boundary
31,0.0319583,0.0384534,,1000,0,0,,0,0,,0,0,boundary
32,0.0308574,0.0393424,,1000,0,0,,0,0,,0,0,boundary
33,0.0297317,0.0401999,,1000,0,0,,0,0,,0,0,boundary
34,0.0285821,0.0410251,,1000,0,0,,0,0,,0,0,boundary
35,0.0274097,0.0418175,,1000,0,0,,0,0,,0,0,boundary
36,0.0262154,0.0425765,,1000,0,0,,0,0,,0,0,boundary
37,0.025,0.0433013,,1000,0,0,,0,0,,0,0,boundary
38,0.0237646,0.0439914,,1000,0,0,,0,0,,0,0,boundary
39,0.0225102,0.0446463,,1000,0,0,,0,0,,0,0,boundary
40,0.0212377,0.0452654,,1000,0,0,,0,0,,0,0,boundary
41,0.0199483,0.0458483,,1000,0,0,,0,0,,0,0,boundary
42,0.0186428,0.0463945,,1000,0,0,,0,0,,0,0,boundary
43,0.0173224,0.0469034,,1000,0,0,,0,0,,0,0,boundary
44,0.0159882,0.0473749,,1000,0,0,,0,0,,0,0,boundary
45,0.0146411,0.0478083,,1000,0,0,,0,0,,0,0,boundary
46,0.0132824,0.0482035,,1000,0,0,,0,0,,0,0,boundary
47,0.0119129,0.0485601,,1000,0,0,,0,0,,0,0,boundary
48,0.010534,0.0488778,,1000,0,0,,0,0,,0,0,boundary
49,0.00914656,0.0491563,,1000,0,0,,0,0,,0,0,boundary
50,0.00775183,0.0493954,,1000,0,0,,0,0,,0,0,boundary
51,0.00635089,0.049595,,1000,0,0,,0,0,,0,0,boundary
52,0.00494487,0.0497549,,1000,0,0,,0,0,,0,0,boundary
53,0.00353488,0.0498749,,1000,0,0,,0,0,,0,0,boundary
54,0.00212206,0.0499549,,1000,0,0,,0,0,,0,0,boundary
55,0.000707542,0.049995,,1000,0,0,,0,0,,0,0,boundary
56,-0.000707542,0.049995,,1000,0,0,,0,0,,0,0,boundary
57,-0.00212206,0.0499549,,1000,0,0,,0,0,,0,0,boundary
58,-0.00353488,0.0498749,,1000,0,0,,0,0,,0,0,boundary
59,-0.00494487,0.0497549,,1000,0,0,,0,0,,0,0,boundary
60,-0.00635089,0.049595,,1000,0,0,,0,0,,0,0,boundary
61,-0.00775183,0.0493954,,1000,0,0,,0,0,,0,0,boundary
62,-0.00914656,0.0491563,,1000,0,0,,0,0,,0,0,boundary
63,-0.010534,0.0488778,,1000,0,0,,0,0,,0,0,boundary
64,-0.0119129,0.0485601,,1000,0,0,,0,0,,0,0,boundary
65,-0.0132824,0.0482035,,1000,0,0,,0,0,,0,0,boundary
66,-0.0146411,0.0478083,,1000,0,0,,0,0,,0,0,boundary
67,-0.0159882,0.0473749,,1000,0,0,,0,0,,0,0,boundary
68,-0.0173224,0.0469034,,1000,0,0,,0,0,,0,0,boundary
69,-0.0186428,0.0463945,,1000,0,0,,0,0,,0,0,boundary
70,-0.0199483,0.0458483,,1000,0,0,,0,0,,0,0,boundary
71,-0.0212377,0.0452654,,1000,0,0,,0,0,,0,0,boundary
72,-0.0225102,0.0446463,,1000,0,0,,0,0,,0,0,boundary
73,-0.0237646,0.0439914,,1000,0,0,,0,0,,0,0,boundary
74,-0.025,0.0433013,,1000,0,0,,0,0,,0,0,boundary
75,-0.0262154,0.0425765,,1000,0,0,,0,0,,0,0,boundary
76,-0.0274097,0.0418175,,1000,0,0,,0,0,,0,0,boundary
77,-0.0285821,0.0410251,,1000,0,0,,0,0,,0,0,boundary
78,-0.0297317,0.0401999,,1000,0,0,,0,0,,0,0,boundary
79,-0.0308574,0.0393424,,1000,0,0,,0,0,,0,0,boundary
80,-0.0319583,0.0384534,,1000,0,0,,0,0,,0,0,boundary
81,-0.0330337,0.0375336,,1000,0,0,,0,0,,0,0,boundary
82,-0.0340827,0.0365838,,1000,0,0,,0,0,,0,0,boundary
83,-0.0351043,0.0356046,,1000,0,0,,0,0,,0,0,boundary
84,-0.0360978,0.0345969,,1000,0,0,,0,0,,0,0,boundary
85,-0.0370624,0.0335616,,1000,0,0,,0,0,,0,0,boundary
86,-0.0379973,0.0324993,,1000,0,0,,0,0,,0,0,boundary
87,-0.0389018,0.031411,,1000,0,0,,0,0,,0,0,boundary
88,-0.0397751,0.0302975,,1000,0,0,,0,0,,0,0,boundary
89,-0.0406166,0.0291598,,1000,0,0,,0,0,,0,0,boundary
90,-0.0414255,0.0279987,,1000,0,0,,0,0,,0,0,boundary
91,-0.0422012,0.0268152,,1000,0,0,,0,0,,0,0,boundary
92,-0.0429432,0.0256102,,1000,0,0,,0,0,,0,0,boundary
93,-0.0436507,0.0243847,,1000,0,0,,0,0,,0,0,boundary
94,-0.0443233,0.0231397,,1000,0,0,,0,0,,0,0,boundary
95,-0.0449604,0.0218762,,1000,0,0,,0,0,,0,0,boundary
96,-0.0455614,0.0205951,,1000,0,0,,0,0,,0,0,boundary
97,-0.046126,0.0192975,,1000,0,0,,0,0,,0,0,boundary
98,-0.0466536,0.0179844,,1000,0,0,,0,0,,0,0,boundary
